standing,team_id,pts,W,D,L,gf,ga,goal_diff,gf_75,ga_75,goal_diff_75,pts_75,standing_75,standing_change_75,gf_60,ga_60,goal_diff_60,pts_60,standing_60,standing_change_60
1,LIV,82,27,1,1,66,21,45,52,15,37,72,1,0,43,12,31,67,1,0
2,MC,57,18,3,7,68,31,37,51,22,29,56,2,0,41,19,22,52,2,0
3,LC,53,16,5,8,58,28,30,44,23,21,52,3,0,31,17,14,44,5,-2
4,CHE,48,14,6,9,51,39,12,43,27,16,50,4,0,39,19,20,50,3,1
5,MU,45,12,9,8,44,30,14,36,23,13,45,5,0,28,20,8,46,4,1
6,WOL,43,10,13,6,41,34,7,29,29,0,34,14,-8,20,29,-9,26,19,-13
7,SHU,43,11,10,7,30,25,5,23,22,1,39,7,0,20,13,7,44,6,1
8,TOT,41,11,8,10,47,40,7,39,35,4,36,10,-2,32,25,7,40,7,1
9,ARS,40,9,13,6,40,36,4,32,29,3,44,6,3,26,26,0,39,10,-1
10,BUR,39,11,6,12,34,40,-6,23,32,-9,37,9,1,17,28,-11,34,13,-3
11,CP,39,10,9,10,26,32,-6,16,23,-7,36,11,0,12,22,-10,32,15,-4
12,EVE,37,10,7,12,37,46,-9,30,35,-5,38,8,4,26,28,-2,40,8,4
13,NEW,35,9,8,12,25,41,-16,17,35,-18,26,20,-7,14,27,-13,27,18,-5
14,SOU,34,10,4,15,35,52,-17,29,42,-13,35,13,1,25,30,-5,40,9,5
15,BHA,29,6,11,12,32,40,-8,21,33,-12,26,19,-4,15,25,-10,30,16,-1
16,WHU,27,7,6,16,35,50,-15,32,39,-7,33,15,1,25,29,-4,39,11,5
17,WAT,27,6,9,14,27,44,-17,24,32,-8,35,12,5,20,26,-6,38,12,5
18,BOU,27,7,6,16,29,47,-18,26,38,-12,32,16,2,21,28,-7,32,14,4
19,AVL,25,7,4,17,34,56,-22,27,41,-14,29,17,2,19,30,-11,30,17,2
20,NOR,21,5,6,18,25,52,-27,22,41,-19,28,18,2,15,36,-21,26,20,0
